CustomerName,Email,Phone,Price,Quantity,SKU,Description,ShippingStreet,ShippingCity,ShippingState,ShippingZip,OrderNotes
Quantum Distribution,quantum.distribution@company.in,+91-9426787620,23.44,19,LIGHT-1903,Wire Shelving Unit 5-tier,"377, Industrial Blvd",Pune,MH,411001,Call before delivery
Phoenix Trade,phoenix.trade@rediffmail.com,+91-8755034885,29.23,37,PACK-6942,Air Purifier Filter,"790, Ring Road",Visakhapatnam,AP,530001,Office hours only
Vertex Solutions,vertex.solutions@outlook.com,+91-8295311204,90.35,43,CART-7547,Air Purifier Filter,"149, College Road",Goa,GA,403001,Handle with care
Elite Traders,elite.traders@nexusmail.com,+91-7477997208,6.58,44,GADGET-9813,Air Purifier Filter,"317, Market Complex",Mysore,KA,570001,Leave at front door
Polaris Retail,polaris.retail@yahoo.com,+91-7706874883,129.90,46,CASE-6172,Smart Gadget Lite,"830, Ring Road",Faridabad,HR,121001,
PrimeSourcing,primesourcing@nexusmail.com,+91-7586673898,51.68,45,PACK-4901,Lithium Battery Pack,"23, Market Complex",Ludhiana,PB,141001,
Zenith Group,zenith.group@rediffmail.com,+91-8282461257,16.95,44,TOOL-8649,Phone Case Silicone,"290, Station Road",Coimbatore,TN,641001,
Cascade Imports,cascade.imports@nexusmail.com,+91-8901817094,12.28,7,CASE-7497,Receipt Printer Thermal,"168, Tower Road",Tiruvananthapuram,KL,695001,
PrimeSourcing,primesourcing@zoho.com,+91-9452235644,7.83,19,PRINT-0150,Shipping Box M,"744, College Road",Chandigarh,CH,160001,
Crest Enterprises,crest.enterprises@yahoo.com,+91-7184522589,10.71,25,PACK-7764,AA Rechargeable 4pk,"968, Main St",Lucknow,UP,226001,Fragile items
InnovateTech,innovatetech@fastmail.com,+91-9367662952,11.87,38,AUDIO-0557,USB-C Hub 7-in-1,"247, Sector",Srinagar,JK,190001,
Sigma Networks,sigma.networks@company.in,+91-9197896313,10.09,42,TOOL-7597,Receipt Printer Thermal,"392, Business Center",Nagpur,MH,440001,
Atlas Merchants,atlas.merchants@zoho.com,+91-8603094070,43.46,1,UNIF-3686,Plastic Widget XL,"601, Tower Road",Allahabad,UP,211001,Handle with care
Crest Enterprises,crest.enterprises@zoho.com,+91-8258173463,36.17,45,PRINT-7106,Tablet Folio Case,"586, Industrial Blvd",Faridabad,HR,121001,Fragile items
InnovateTech,innovatetech@rediffmail.com,+91-9296112588,198.73,46,PACK-9111,Utility Cart 300lb,"803, Hospital Road",Ahmedabad,GJ,380001,
Vega Exports,vega.exports@zoho.com,+91-9588895419,250.15,34,ELEC-3400,USB-C Hub 7-in-1,"186, College Road",Ahmedabad,GJ,380001,
Nova Distributors,nova.distributors@outlook.com,+91-7128226884,26.19,36,RACK-3379,Receipt Printer Thermal,"166, Park Ave",Mumbai,MH,400001,Handle with care
Omega Brands,omega.brands@company.in,+91-8783932492,45.01,6,SEAL-0002,Noise Canceling Headphones,"308, Main St",Bangalore,KA,560001,Call before delivery
Vega Exports,vega.exports@company.in,+91-8025478506,13.30,29,PACK-9932,Utility Cart 300lb,"523, Technology Park",Bhubaneswar,OD,751001,
Polaris Retail,polaris.retail@yahoo.com,+91-9805238208,88.74,16,CABLE-9866,Platform Truck 600lb,"222, Tower Road",Bangalore,KA,560001,Leave at front door
Apex Ventures,apex.ventures@company.in,+91-7835444167,599.68,47,PACK-2676,Bubble Wrap Roll,"468, Park Ave",Jaipur,RJ,302001,Weekend delivery
Pinnacle Wholesale,pinnacle.wholesale@proton.me,+91-7882792984,23.27,35,PRINT-3157,Shipping Box M,"578, MG Road",Lucknow,UP,226001,
Atlas Merchants,atlas.merchants@fastmail.com,+91-8420959668,8.26,27,WIDGET-9890,Noise Canceling Headphones,"80, Business Center",Surat,GJ,395001,
InnovateTech,innovatetech@fastmail.com,+91-9097721662,349.62,44,PACK-5465,Car Charger 36W,"150, College Road",Pune,MH,411001,Call before delivery
Vertex Solutions,vertex.solutions@nexusmail.com,+91-8240723762,34.50,1,ELEC-2880,Safety Goggles Anti-Fog,"746, Bazaar Street",Faridabad,HR,121001,Gift wrap please
Elite Traders,elite.traders@icloud.com,+91-9835746961,11.39,7,CART-4441,Barcode Scanner USB,"102, Bazaar Street",Mysore,KA,570001,Office hours only
TechStart Inc,techstart.inc@outlook.com,+91-9429098842,7.71,49,CART-9039,Barcode Scanner USB,"904, College Road",Varanasi,UP,221001,
Zenith Group,zenith.group@zoho.com,+91-7509596188,30.74,17,CABLE-2338,Shipping Box L,"582, Station Road",Jaipur,RJ,302001,
Pinnacle Wholesale,pinnacle.wholesale@gmail.com,+91-9315970003,150.70,46,BATT-7192,Shipping Box S,"818, Lake View Rd",Allahabad,UP,211001,Standard shipping
Vega Exports,vega.exports@company.in,+91-7749650001,13.76,28,PRINT-1425,Tablet Folio Case,"417, Hospital Road",Faridabad,HR,121001,
Metro Supplies,metro.supplies@yahoo.com,+91-8885117525,151.77,5,TOOL-4684,Platform Truck 600lb,"952, Lake View Rd",Chennai,TN,600001,Fragile items
Vertex Solutions,vertex.solutions@gmail.com,+91-8571775248,24.72,44,UNIF-8723,USB-C Hub 7-in-1,"416, Main St",Coimbatore,TN,641001,Fragile items
Nova Distributors,nova.distributors@nexusmail.com,+91-8130642011,10.80,46,UNIF-9982,Smart Gadget Pro,"622, Lake View Rd",Mumbai,MH,400001,
NexGen Logistics,nexgen.logistics@fastmail.com,+91-8683256306,59.46,12,GADGET-6926,Cut Resistant Gloves L,"389, Industrial Blvd",Ludhiana,PB,141001,Fragile items
Apex Ventures,apex.ventures@yahoo.com,+91-9511325448,151.32,44,CASE-4902,Nitrile Gloves M 100pk,"301, Business Center",Srinagar,JK,190001,
Reliable Retail,reliable.retail@gmail.com,+91-8689214643,31.71,14,LABEL-8000,Smart Gadget Lite,"365, Main St",Tiruvananthapuram,KL,695001,
Nova Distributors,nova.distributors@zoho.com,+91-9916934400,3.42,20,PACK-5809,Aluminum Widget,"104, Sector",Srinagar,JK,190001,Call before delivery
Sigma Networks,sigma.networks@nexusmail.com,+91-7405873886,24.58,34,WIDGET-2550,Wireless Charger Pad,"232, Lake View Rd",Chennai,TN,600001,Standard shipping
Zenith Group,zenith.group@rediffmail.com,+91-9659245321,11.56,24,ELEC-7186,Thermal Label 4x6 250pk,"166, Industrial Blvd",Rajkot,GJ,360001,Weekend delivery
Apex Ventures,apex.ventures@proton.me,+91-7131927521,38.43,23,PACK-6899,Water Filter Cartridge,"923, Main St",Mumbai,MH,400001,Leave at front door
NexGen Logistics,nexgen.logistics@nexusmail.com,+91-8802674955,18.47,43,CABLE-5323,Bubble Wrap Roll,"514, Station Road",Chandigarh,CH,160001,Express delivery
Cascade Imports,cascade.imports@proton.me,+91-7509655104,36.16,8,UNIF-0224,Noise Canceling Headphones,"54, MG Road",Jaipur,RJ,302001,Fragile items
Eclipse Logistics,eclipse.logistics@rediffmail.com,+91-7924773691,29.73,39,TOOL-7028,Noise Canceling Headphones,"633, Industrial Blvd",Coimbatore,TN,641001,Leave at front door
Astra Corporation,astra.corporation@fastmail.com,+91-7863542421,21.06,16,SEAL-3251,Nitrile Gloves M 100pk,"724, Hospital Road",Nagpur,MH,440001,
Vertex Solutions,vertex.solutions@yahoo.com,+91-8937292432,18.74,40,PRINT-2437,Bluetooth Speaker,"124, Industrial Blvd",Udaipur,RJ,313001,
Zenith Group,zenith.group@gmail.com,+91-7654121919,8.70,13,GADGET-6232,Packing Tape 36yd,"538, Business Center",Faridabad,HR,121001,Office hours only
Polaris Retail,polaris.retail@nexusmail.com,+91-8399494393,9.91,22,GADGET-4986,USB-C Hub 7-in-1,"276, Ring Road",Ludhiana,PB,141001,Weekend delivery
Pinnacle Wholesale,pinnacle.wholesale@rediffmail.com,+91-7133910070,41.57,16,GADGET-5270,Smart Bulb WiFi,"293, Lake View Rd",Kochi,KL,682001,Fragile items
Pinnacle Wholesale,pinnacle.wholesale@icloud.com,+91-8191353815,19.00,28,CASE-1828,Power Adapter 100W,"686, Main St",Kolkata,WB,700001,Express delivery
Titan Trading,titan.trading@fastmail.com,+91-9434487189,7.96,22,UNIF-9908,Shipping Box M,"244, MG Road",Jaipur,RJ,302001,Call before delivery
Pinnacle Wholesale,pinnacle.wholesale@nexusmail.com,+91-8972025775,33.51,6,GADGET-9611,Receipt Printer Thermal,"838, Technology Park",Visakhapatnam,AP,530001,
Reliable Retail,reliable.retail@zoho.com,+91-9376872154,200.47,5,LIGHT-8742,USB-C Cable 3ft,"45, Industrial Blvd",Kolkata,WB,700001,Leave at front door
Reliable Retail,reliable.retail@proton.me,+91-8469592557,351.89,49,ELEC-7146,Precision Tool Kit,"495, Sector",Nashik,MH,422001,Call before delivery
Vega Exports,vega.exports@fastmail.com,+91-7949115956,89.09,11,RACK-0997,LED Desk Lamp,"759, College Road",Delhi,DL,110001,Fragile items
Zenith Group,zenith.group@zoho.com,+91-8668860351,58.65,33,CART-6394,Bubble Wrap Roll,"622, Business Center",Bhubaneswar,OD,751001,
Reliable Retail,reliable.retail@outlook.com,+91-7029077213,128.86,11,LABEL-8255,Safety Goggles Anti-Fog,"266, Business Center",Mumbai,MH,400001,
Phoenix Trade,phoenix.trade@nexusmail.com,+91-7733715978,20.20,46,CART-3903,Phone Case Silicone,"41, MG Road",Meerut,UP,250001,Fragile items
PrimeSourcing,primesourcing@company.in,+91-9698137521,50.56,18,CART-1904,Aluminum Widget,"665, Ring Road",Jaipur,RJ,302001,Gift wrap please
Atlas Merchants,atlas.merchants@icloud.com,+91-7865227512,26.78,21,SEAL-4832,Air Purifier Filter,"59, MG Road",Allahabad,UP,211001,Weekend delivery
Eclipse Logistics,eclipse.logistics@gmail.com,+91-8760996155,18.70,15,RACK-1744,Shipping Box L,"969, MG Road",Amritsar,PB,143001,Rush delivery needed
Pinnacle Wholesale,pinnacle.wholesale@icloud.com,+91-8905992549,59.29,29,PACK-2551,Thermal Label 4x6 250pk,"238, Station Road",Bhopal,MP,462001,Gift wrap please
Astra Corporation,astra.corporation@proton.me,+91-8505334251,13.36,10,BATT-3095,Wire Shelving Unit 5-tier,"503, Station Road",Allahabad,UP,211001,Fragile items
NexGen Logistics,nexgen.logistics@company.in,+91-8291789668,81.53,20,LIGHT-1138,USB-C Cable 3ft,"74, Sector",Delhi,DL,110001,
Quantum Distribution,quantum.distribution@zoho.com,+91-9647611545,10.54,7,SCAN-1634,Shipping Box L,"394, Main St",Tiruvananthapuram,KL,695001,
InnovateTech,innovatetech@gmail.com,+91-7467392232,151.07,9,SCAN-0222,Aluminum Widget,"981, Hospital Road",Bangalore,KA,560001,Leave at front door
InnovateTech,innovatetech@fastmail.com,+91-9489283774,23.80,46,LABEL-2673,Tablet Folio Case,"340, Lake View Rd",Srinagar,JK,190001,Express delivery
PrimeSourcing,primesourcing@nexusmail.com,+91-7069415836,20.50,35,ELEC-8924,Phone Case Silicone,"106, Market Complex",Hyderabad,TS,500001,Handle with care
Horizon Wholesale,horizon.wholesale@proton.me,+91-8262829316,58.09,1,PACK-4700,Bluetooth Speaker,"944, Bazaar Street",Lucknow,UP,226001,Standard shipping
Titan Trading,titan.trading@proton.me,+91-7333346937,81.95,32,PACK-1250,Mobile Computer PDA,"342, Park Ave",Pune,MH,411001,Gift wrap please
Apex Ventures,apex.ventures@yahoo.com,+91-8097288592,7.70,39,BATT-6968,USB-C Cable 3ft,"915, MG Road",Bangalore,KA,560001,Weekend delivery
Titan Trading,titan.trading@company.in,+91-9168358380,34.07,23,CHARG-1252,Aluminum Widget,"883, Bazaar Street",Meerut,UP,250001,Express delivery
PrimeSourcing,primesourcing@outlook.com,+91-9574072709,8.78,10,TOOL-1855,Wire Shelving Unit 5-tier,"438, Station Road",Varanasi,UP,221001,
Pinnacle Wholesale,pinnacle.wholesale@outlook.com,+91-8155451853,11.72,21,GLOVE-6945,Nitrile Gloves M 100pk,"711, Sector",Chennai,TN,600001,Standard shipping
Nova Distributors,nova.distributors@rediffmail.com,+91-8628980614,149.52,42,CART-8071,Utility Cart 300lb,"550, College Road",Jaipur,RJ,302001,Weekend delivery
Quantum Distribution,quantum.distribution@proton.me,+91-9272438748,4.10,38,TOOL-3854,Shipping Box M,"3, Technology Park",Chennai,TN,600001,
Phoenix Trade,phoenix.trade@gmail.com,+91-7195255789,16.82,36,PACK-2284,Phone Case Silicone,"472, Industrial Blvd",Allahabad,UP,211001,Handle with care
Eclipse Logistics,eclipse.logistics@fastmail.com,+91-9447728061,26.30,16,ELEC-2345,Shipping Box L,"751, Main St",Kochi,KL,682001,Rush delivery needed
Polaris Retail,polaris.retail@proton.me,+91-8562487847,35.64,4,BATT-0495,USB-C Cable 3ft,"375, Industrial Blvd",Allahabad,UP,211001,Handle with care
GlobalMart,globalmart@nexusmail.com,+91-7490533910,131.31,1,GLOVE-2296,Safety Goggles Anti-Fog,"716, Business Center",Ahmedabad,GJ,380001,Standard shipping
Sigma Networks,sigma.networks@proton.me,+91-7364530432,200.77,29,GADGET-0527,Barcode Scanner USB,"770, Industrial Blvd",Srinagar,JK,190001,Leave at front door
Vega Exports,vega.exports@outlook.com,+91-8815843823,10.71,26,RACK-8223,Tablet Folio Case,"727, Technology Park",Mumbai,MH,400001,Express delivery
Orion Industries,orion.industries@outlook.com,+91-9435137769,11.50,6,PACK-0918,Bluetooth Speaker,"402, Industrial Blvd",Faridabad,HR,121001,Fragile items
Eclipse Logistics,eclipse.logistics@fastmail.com,+91-9103363097,7.90,45,PACK-2701,Smart Gadget Lite,"823, Ring Road",Ahmedabad,GJ,380001,
Atlas Merchants,atlas.merchants@proton.me,+91-8976553970,33.41,18,WIDGET-3925,Phone Case Silicone,"167, Market Complex",Indore,MP,452001,Call before delivery
InnovateTech,innovatetech@yahoo.com,+91-7615182311,31.02,39,LIGHT-0531,Noise Canceling Headphones,"276, Park Ave",Bhopal,MP,462001,Leave at front door
Crest Enterprises,crest.enterprises@icloud.com,+91-7305450449,13.17,37,WIDGET-5844,Phone Case Silicone,"982, Sector",Bangalore,KA,560001,Call before delivery
Vega Exports,vega.exports@nexusmail.com,+91-9302498432,13.89,49,ELEC-5429,Packing Tape 36yd,"919, Station Road",Varanasi,UP,221001,Fragile items
Vega Exports,vega.exports@yahoo.com,+91-8252172515,7.08,50,RACK-0613,Phone Case Silicone,"166, Industrial Blvd",Udaipur,RJ,313001,
Titan Trading,titan.trading@zoho.com,+91-9898038265,26.80,41,PRINT-2308,Lithium Battery Pack,"987, Market Complex",Chennai,TN,600001,Gift wrap please
Vega Exports,vega.exports@icloud.com,+91-8110948121,24.78,50,PACK-7060,Smart Gadget Pro,"913, Station Road",Goa,GA,403001,Fragile items
Helix Suppliers,helix.suppliers@proton.me,+91-8857692285,600.42,14,GLOVE-1596,Aluminum Widget,"147, Hospital Road",Agra,UP,282001,Fragile items
Phoenix Trade,phoenix.trade@company.in,+91-7968631164,34.81,32,TOOL-4590,Wire Shelving Unit 5-tier,"373, Ring Road",Chennai,TN,600001,Fragile items
GlobalMart,globalmart@yahoo.com,+91-7838967939,7.02,46,PRINT-2302,USB-C Hub 7-in-1,"996, Tower Road",Nagpur,MH,440001,Express delivery
Sigma Networks,sigma.networks@gmail.com,+91-9230126906,12.63,19,LABEL-6009,Warehouse Vest Orange,"866, Tower Road",Allahabad,UP,211001,Office hours only
Metro Supplies,metro.supplies@rediffmail.com,+91-9875099463,4.01,44,GADGET-0935,Noise Canceling Headphones,"717, College Road",Chennai,TN,600001,Leave at front door
Omega Brands,omega.brands@gmail.com,+91-8308319565,14.49,7,AUDIO-6361,Address Label 100pk,"686, Park Ave",Lucknow,UP,226001,Office hours only
Apex Ventures,apex.ventures@zoho.com,+91-7357521248,201.59,42,BATT-1776,Bubble Wrap Roll,"787, Sector",Guwahati,AS,781001,Express delivery
Reliable Retail,reliable.retail@proton.me,+91-8593437870,39.36,5,GLOVE-1874,Car Charger 36W,"466, Main St",Srinagar,JK,190001,Office hours only
Omega Brands,omega.brands@outlook.com,+91-7102688784,298.84,10,PACK-1023,Shipping Box M,"809, Sector",Chandigarh,CH,160001,Office hours only
Sigma Networks,sigma.networks@nexusmail.com,+91-8385845369,16.80,14,CHARG-2886,Basic Tool Set,"146, Park Ave",Hyderabad,TS,500001,
Pinnacle Wholesale,pinnacle.wholesale@proton.me,+91-7701597771,26.48,20,CHARG-3016,Smart Gadget Lite,"95, Bazaar Street",Chennai,TN,600001,Weekend delivery
Horizon Wholesale,horizon.wholesale@proton.me,+91-8373373127,28.65,49,GLOVE-8774,Lithium Battery Pack,"989, Station Road",Srinagar,JK,190001,Call before delivery
Orion Industries,orion.industries@rediffmail.com,+91-7650620198,351.12,1,RACK-2370,Air Purifier Filter,"681, College Road",Visakhapatnam,AP,530001,Office hours only
Astra Corporation,astra.corporation@rediffmail.com,+91-9832151472,9.73,10,ELEC-6659,Wireless Charger Pad,"534, Station Road",Mumbai,MH,400001,Express delivery
Acme Corp,acme.corp@zoho.com,+91-7319314782,25.55,41,LIGHT-3075,Packing Tape 36yd,"714, Market Complex",Jaipur,RJ,302001,Office hours only
Helix Suppliers,helix.suppliers@outlook.com,+91-9227085607,3.83,14,WIDGET-6067,Shipping Box M,"17, Business Center",Visakhapatnam,AP,530001,Gift wrap please
Horizon Wholesale,horizon.wholesale@company.in,+91-8356763790,20.59,8,PACK-5771,Utility Cart 300lb,"437, Market Complex",Udaipur,RJ,313001,Express delivery
Helix Suppliers,helix.suppliers@rediffmail.com,+91-8811287973,7.70,12,BATT-8893,Tamper Seal 100pk,"391, Business Center",Pune,MH,411001,Fragile items
Phoenix Trade,phoenix.trade@proton.me,+91-7325121484,601.74,45,ELEC-1469,Receipt Printer Thermal,"17, Tower Road",Meerut,UP,250001,
Cascade Imports,cascade.imports@proton.me,+91-9075968209,601.70,32,UNIF-9523,Smart Gadget Pro,"684, Business Center",Kolkata,WB,700001,Handle with care
Phoenix Trade,phoenix.trade@proton.me,+91-7640871548,8.20,15,ELEC-5745,Address Label 100pk,"423, Bazaar Street",Bhopal,MP,462001,Handle with care
Eclipse Logistics,eclipse.logistics@proton.me,+91-9882296334,60.02,24,CHARG-5037,Packing Tape 36yd,"690, Technology Park",Mumbai,MH,400001,Leave at front door
Acme Corp,acme.corp@proton.me,+91-9755078021,13.60,1,SCAN-5202,Water Filter Cartridge,"175, Tower Road",Bangalore,KA,560001,Call before delivery
Orion Industries,orion.industries@nexusmail.com,+91-7169085740,600.57,13,SEAL-2112,Label Printer 4x6,"400, Station Road",Tiruvananthapuram,KL,695001,
NexGen Logistics,nexgen.logistics@proton.me,+91-9326626558,79.74,34,UNIF-1940,Label Printer 4x6,"591, Hospital Road",Varanasi,UP,221001,Handle with care
Zenith Group,zenith.group@company.in,+91-8433311512,23.36,21,PRINT-9721,USB-C Cable 3ft,"29, Tower Road",Surat,GJ,395001,Rush delivery needed
Polaris Retail,polaris.retail@fastmail.com,+91-7427769468,7.09,37,PRINT-5868,AA Rechargeable 4pk,"246, MG Road",Chennai,TN,600001,
Horizon Wholesale,horizon.wholesale@nexusmail.com,+91-9555959559,201.35,13,CHARG-0848,Car Charger 36W,"85, Bazaar Street",Rajkot,GJ,360001,
PrimeSourcing,primesourcing@gmail.com,+91-7350828590,9.70,8,CASE-4293,AA Rechargeable 4pk,"96, Park Ave",Kolkata,WB,700001,Handle with care
Sigma Networks,sigma.networks@rediffmail.com,+91-8355719643,34.95,26,GLOVE-1251,Smart Bulb WiFi,"704, Sector",Bhopal,MP,462001,Rush delivery needed
Zenith Group,zenith.group@rediffmail.com,+91-9161584356,19.19,11,PRINT-9940,Smart Gadget Pro,"121, Ring Road",Vadodara,GJ,390001,Fragile items
Apex Ventures,apex.ventures@zoho.com,+91-7398435276,80.08,1,SCAN-0485,Utility Cart 300lb,"24, Market Complex",Bhubaneswar,OD,751001,Leave at front door
Vega Exports,vega.exports@outlook.com,+91-8073228161,46.58,24,AUDIO-1368,HDMI Cable 6ft,"275, Business Center",Bhopal,MP,462001,Rush delivery needed
Sigma Networks,sigma.networks@nexusmail.com,+91-9441874985,350.60,23,SEAL-8400,Bubble Wrap Roll,"945, Technology Park",Chennai,TN,600001,Express delivery
Pinnacle Wholesale,pinnacle.wholesale@outlook.com,+91-8912487015,21.84,44,CASE-2715,Smart Bulb WiFi,"977, Station Road",Indore,MP,452001,Handle with care
Sigma Networks,sigma.networks@proton.me,+91-8044491646,90.98,28,ELEC-9950,Shipping Box L,"440, Technology Park",Vadodara,GJ,390001,
Crest Enterprises,crest.enterprises@rediffmail.com,+91-8675643169,59.79,41,RACK-6715,Phone Case Silicone,"619, College Road",Allahabad,UP,211001,Rush delivery needed
Horizon Wholesale,horizon.wholesale@fastmail.com,+91-8057366280,13.45,26,BATT-5862,Noise Canceling Headphones,"75, Technology Park",Amritsar,PB,143001,
Titan Trading,titan.trading@rediffmail.com,+91-9255311428,38.48,10,FILTER-3503,Address Label 100pk,"582, Hospital Road",Allahabad,UP,211001,Call before delivery
Metro Supplies,metro.supplies@nexusmail.com,+91-7712523489,15.40,25,CART-4556,Barcode Scanner USB,"969, Bazaar Street",Ahmedabad,GJ,380001,Weekend delivery
Vertex Solutions,vertex.solutions@yahoo.com,+91-7649235837,9.26,44,GADGET-8093,Cut Resistant Gloves L,"48, Business Center",Kochi,KL,682001,Call before delivery
Orion Industries,orion.industries@yahoo.com,+91-8254540988,80.40,29,RACK-0349,Phone Case Silicone,"19, MG Road",Pune,MH,411001,Office hours only
Vertex Solutions,vertex.solutions@icloud.com,+91-7121279922,13.51,30,UNIF-0641,Water Filter Cartridge,"661, Main St",Mumbai,MH,400001,Standard shipping
GlobalMart,globalmart@zoho.com,+91-8133162473,29.09,27,TOOL-9117,Air Purifier Filter,"506, Tower Road",Kolkata,WB,700001,
TechStart Inc,techstart.inc@proton.me,+91-9983425913,7.96,45,PACK-1684,Plastic Widget XL,"230, Main St",Rajkot,GJ,360001,
Eclipse Logistics,eclipse.logistics@gmail.com,+91-8427639667,41.44,7,BATT-1443,LED Desk Lamp,"742, Bazaar Street",Jaipur,RJ,302001,
Vertex Solutions,vertex.solutions@rediffmail.com,+91-7141124523,49.03,1,GADGET-4986,Precision Tool Kit,"271, Ring Road",Bhubaneswar,OD,751001,
Polaris Retail,polaris.retail@icloud.com,+91-8509625715,81.69,18,CABLE-5232,USB-C Cable 3ft,"772, Tower Road",Visakhapatnam,AP,530001,Office hours only
Horizon Wholesale,horizon.wholesale@proton.me,+91-8893672642,45.08,43,GLOVE-4597,Air Purifier Filter,"792, Station Road",Vadodara,GJ,390001,Gift wrap please
Sigma Networks,sigma.networks@nexusmail.com,+91-8830141768,15.84,17,PRINT-3374,Precision Tool Kit,"77, Lake View Rd",Chennai,TN,600001,Call before delivery
TechStart Inc,techstart.inc@nexusmail.com,+91-7615773916,24.86,43,ELEC-5578,Smart Bulb WiFi,"834, Tower Road",Mumbai,MH,400001,Standard shipping
Helix Suppliers,helix.suppliers@fastmail.com,+91-7504676127,30.82,21,ELEC-2131,Bluetooth Speaker,"939, Ring Road",Udaipur,RJ,313001,
Zenith Group,zenith.group@zoho.com,+91-8386331521,11.74,13,CASE-9458,Receipt Printer Thermal,"105, Industrial Blvd",Udaipur,RJ,313001,Leave at front door
Delta Commerce,delta.commerce@yahoo.com,+91-7874113746,16.57,16,GLOVE-8699,Thermal Label 4x6 250pk,"361, Business Center",Pune,MH,411001,Fragile items
InnovateTech,innovatetech@fastmail.com,+91-8645566472,8.84,23,UNIF-5468,Smart Gadget Lite,"452, Business Center",Chennai,TN,600001,Standard shipping
Apex Ventures,apex.ventures@yahoo.com,+91-7635448535,9.92,42,LIGHT-6598,AA Rechargeable 4pk,"609, Business Center",Hyderabad,TS,500001,Standard shipping
Vega Exports,vega.exports@icloud.com,+91-9117942629,8.43,34,ELEC-3598,USB-C Hub 7-in-1,"55, Bazaar Street",Mysore,KA,570001,Rush delivery needed
TechStart Inc,techstart.inc@icloud.com,+91-7742091293,60.12,16,PACK-6422,Bubble Wrap Roll,"104, Technology Park",Faridabad,HR,121001,Leave at front door
Astra Corporation,astra.corporation@company.in,+91-9086947747,81.13,14,SCAN-4719,Aluminum Widget,"97, Industrial Blvd",Mysore,KA,570001,Call before delivery
Vega Exports,vega.exports@icloud.com,+91-7781932312,31.40,48,FILTER-1138,Lithium Battery Pack,"192, Ring Road",Chandigarh,CH,160001,
Horizon Wholesale,horizon.wholesale@zoho.com,+91-7581644581,14.70,1,TOOL-2798,Aluminum Widget,"609, Ring Road",Lucknow,UP,226001,Rush delivery needed
Sigma Networks,sigma.networks@icloud.com,+91-9683412279,149.88,32,RACK-4763,Bluetooth Speaker,"538, Market Complex",Mumbai,MH,400001,Rush delivery needed
NexGen Logistics,nexgen.logistics@outlook.com,+91-8483174312,31.21,7,PACK-8941,Wireless Charger Pad,"680, Lake View Rd",Kolkata,WB,700001,Call before delivery
Pinnacle Wholesale,pinnacle.wholesale@rediffmail.com,+91-9920877873,4.19,1,SCAN-7936,USB-C Hub 7-in-1,"277, MG Road",Guwahati,AS,781001,Call before delivery
Vega Exports,vega.exports@gmail.com,+91-8170475251,60.63,27,WIDGET-4004,Wire Shelving Unit 5-tier,"759, Station Road",Lucknow,UP,226001,Fragile items
Orion Industries,orion.industries@rediffmail.com,+91-9093024146,23.77,48,CHARG-8928,Thermal Label 4x6 250pk,"982, Bazaar Street",Bhopal,MP,462001,Standard shipping
Vega Exports,vega.exports@outlook.com,+91-8930564695,6.54,44,CHARG-5068,LED Desk Lamp,"43, Tower Road",Nashik,MH,422001,Standard shipping
Vega Exports,vega.exports@rediffmail.com,+91-9596355481,8.26,28,CASE-1806,Aluminum Widget,"511, Bazaar Street",Pune,MH,411001,
Titan Trading,titan.trading@outlook.com,+91-9044083156,9.08,44,BATT-4975,Cut Resistant Gloves L,"296, Park Ave",Guwahati,AS,781001,Leave at front door
Vertex Solutions,vertex.solutions@company.in,+91-8943326178,88.86,30,GADGET-8002,Tablet Folio Case,"6, Sector",Mumbai,MH,400001,
Apex Ventures,apex.ventures@gmail.com,+91-9573175797,12.39,17,CART-2541,Basic Tool Set,"731, Business Center",Hyderabad,TS,500001,Leave at front door
PrimeSourcing,primesourcing@nexusmail.com,+91-8550556482,24.15,38,AUDIO-6329,Tamper Seal 100pk,"409, Bazaar Street",Coimbatore,TN,641001,Rush delivery needed
InnovateTech,innovatetech@company.in,+91-9224652268,28.68,39,RACK-2281,LED Desk Lamp,"257, Industrial Blvd",Rajkot,GJ,360001,Standard shipping
Orion Industries,orion.industries@fastmail.com,+91-9058870444,28.33,20,CART-3005,Shipping Box L,"802, Bazaar Street",Indore,MP,452001,Office hours only
Eclipse Logistics,eclipse.logistics@proton.me,+91-8650999805,11.76,9,PACK-7674,Shipping Box S,"438, Lake View Rd",Kolkata,WB,700001,Call before delivery
Orion Industries,orion.industries@proton.me,+91-8379221590,348.10,2,CABLE-4955,Noise Canceling Headphones,"595, Market Complex",Guwahati,AS,781001,
Apex Ventures,apex.ventures@outlook.com,+91-8286626506,13.20,37,PACK-0098,Address Label 100pk,"827, Hospital Road",Bhubaneswar,OD,751001,
Phoenix Trade,phoenix.trade@fastmail.com,+91-9129524031,23.21,4,FILTER-9738,Power Adapter 100W,"842, Business Center",Guwahati,AS,781001,
Crest Enterprises,crest.enterprises@zoho.com,+91-8673816949,45.95,4,LIGHT-8459,USB-C Cable 3ft,"576, Station Road",Srinagar,JK,190001,
Sigma Networks,sigma.networks@outlook.com,+91-9058650749,301.40,44,WIDGET-7946,Mobile Computer PDA,"705, Technology Park",Ludhiana,PB,141001,Leave at front door
InnovateTech,innovatetech@yahoo.com,+91-7317442401,91.51,10,LIGHT-1698,Nitrile Gloves M 100pk,"26, College Road",Mumbai,MH,400001,Weekend delivery
