code,name,address,city,state,zip,country,capacity_sqft,manager_name,manager_phone,manager_email
WH-DLWL,Gamma Logistics Park,2997 Park Ave,Phoenix,GA,25450,US,69019,Manager EUVTO,+1-275-700-4642,manager@cyberdyne.com
WH-DIBA,Zeta Cross-Dock,3825 Broadway,Portland,CA,65175,US,135960,Manager BFHCE,+1-324-370-1816,manager@massive.com
WH-GNIW,Theta Logistics Hub,6792 Lake Dr,San Diego,MA,78479,US,172658,Manager UZJYE,+1-951-491-6059,manager@hooli.com
WH-MTKB,Zeta Cross-Dock,8724 Hill Rd,Portland,PA,82583,US,49023,Manager CXOYL,+1-874-971-2946,manager@acmecorp.com
WH-SLQB,Beta Fulfillment Center,9087 Hill Rd,Chicago,GA,80451,US,43795,Manager QXZXZ,+1-594-399-9696,manager@initech.com
WH-WUVI,Gamma Logistics Park,5348 Main St,Nashville,PA,79282,US,199612,Manager DOXJM,+1-780-540-6098,manager@hooli.com
WH-WSXC,Eta Distribution Center,3095 Broadway,Minneapolis,NY,63840,US,185190,Manager DODBL,+1-932-575-5690,manager@acmecorp.com
WH-UFTP,Epsilon Warehouse,237 Market St,Seattle,CO,14423,US,141766,Manager CSGOP,+1-361-217-7058,manager@hooli.com
WH-ECSA,Zeta Cross-Dock,8860 Lake Dr,Los Angeles,CA,26078,US,29280,Manager DCRHH,+1-790-595-9187,manager@wayne.com
WH-WTOH,Gamma Logistics Park,6851 Market St,Houston,WA,14870,US,155058,Manager AZPYP,+1-930-402-4343,manager@oscorp.com
WH-GNNB,Epsilon Warehouse,1540 Hill Rd,Dallas,OH,76556,US,134384,Manager AORNY,+1-748-545-5754,manager@stark.com
WH-GMYK,Theta Logistics Hub,2814 Hill Rd,Miami,TX,75453,US,102710,Manager RANND,+1-775-222-7625,manager@globex.com
WH-EKPP,Zeta Cross-Dock,4133 Park Ave,Denver,OH,50523,US,40760,Manager SMBIT,+1-780-913-1881,manager@umbrella.com
WH-EHOC,Delta Storage Facility,634 Lake Dr,Austin,CA,91439,US,152597,Manager SORLO,+1-417-854-3152,manager@globex.com
WH-WUXC,Iota Storage,9187 Market St,Chicago,MA,44462,US,88422,Manager SURXF,+1-446-469-3489,manager@oscorp.com
WH-GBER,Iota Storage,9511 Washington Blvd,Seattle,FL,22834,US,190588,Manager DEYFE,+1-775-461-1643,manager@cyberdyne.com
WH-KVSH,Gamma Logistics Park,2233 Elm St,Portland,CO,99906,US,100305,Manager WOGQE,+1-968-452-9544,manager@massive.com
WH-FEUA,Eta Distribution Center,6148 Park Ave,Chicago,MA,82734,US,110719,Manager ICKOK,+1-792-324-7319,manager@wayne.com
WH-DGVU,Kappa Fulfillment,6705 Hill Rd,Dallas,MA,87541,US,125150,Manager LQPPH,+1-708-522-3593,manager@hooli.com
WH-TXSU,Delta Storage Facility,8764 Elm St,Portland,GA,59409,US,36507,Manager YPGMR,+1-449-395-8306,manager@stark.com
WH-DDDA,Epsilon Warehouse,8012 Hill Rd,Los Angeles,MN,15801,US,57039,Manager MZUNB,+1-294-493-8376,manager@wayne.com
WH-ZCJW,Gamma Logistics Park,6038 Lake Dr,Portland,PA,44249,US,77626,Manager PBGBM,+1-895-461-6068,manager@stark.com
WH-RRSI,Delta Storage Facility,2392 Elm St,San Antonio,TX,47529,US,31889,Manager PAKPJ,+1-546-776-2327,manager@massive.com
WH-HMOP,Kappa Fulfillment,5949 Park Ave,Phoenix,CA,68116,US,81544,Manager BJNHZ,+1-575-810-4816,manager@initech.com
WH-NUSW,Kappa Fulfillment,3232 Hill Rd,New York,IL,57365,US,139079,Manager RZDOK,+1-378-238-8641,manager@acmecorp.com
WH-VCUF,Zeta Cross-Dock,7284 River Rd,New York,PA,11771,US,172371,Manager VBBCZ,+1-903-443-2772,manager@umbrella.com
WH-CKAS,Iota Storage,2247 Oak Ave,Austin,CO,68166,US,6605,Manager FMNWZ,+1-420-212-2948,manager@massive.com
WH-IPJA,Kappa Fulfillment,3295 Elm St,San Diego,FL,47950,US,82072,Manager NOHVT,+1-274-846-5281,manager@oscorp.com
WH-WBLS,Epsilon Warehouse,1862 Park Ave,San Diego,MA,32222,US,171142,Manager CVXIL,+1-625-570-4599,manager@hooli.com
WH-YEFW,Gamma Logistics Park,8735 Lake Dr,Miami,PA,66285,US,106504,Manager COZBZ,+1-456-204-9160,manager@umbrella.com
WH-NCWZ,Zeta Cross-Dock,9115 Lake Dr,San Antonio,NY,36876,US,21145,Manager HZTTU,+1-398-586-3750,manager@initech.com
WH-ULOC,Alpha Distribution Hub,1417 River Rd,Chicago,NY,63643,US,112645,Manager SSOJF,+1-406-559-9096,manager@umbrella.com
WH-DBGS,Gamma Logistics Park,8509 Elm St,Portland,WA,72745,US,181699,Manager OVCXS,+1-902-208-3967,manager@hooli.com
WH-HZRT,Theta Logistics Hub,7966 Oak Ave,Portland,FL,40676,US,54907,Manager UZJGG,+1-239-720-7096,manager@globex.com
WH-TNIQ,Epsilon Warehouse,3756 Market St,Philadelphia,MN,40031,US,73590,Manager WJPXK,+1-747-705-5045,manager@wayne.com
WH-HYDH,Alpha Distribution Hub,8603 River Rd,Portland,CO,16800,US,158553,Manager IJWRL,+1-380-662-6447,manager@stark.com
WH-YAIM,Gamma Logistics Park,1912 Elm St,Houston,AZ,52964,US,52701,Manager WUTKI,+1-375-762-1995,manager@hooli.com
WH-TQNG,Delta Storage Facility,8198 Hill Rd,Philadelphia,OR,82801,US,22245,Manager DBFPW,+1-672-746-7070,manager@stark.com
WH-YZVY,Zeta Cross-Dock,3497 Washington Blvd,Nashville,WA,39853,US,38984,Manager GBDKN,+1-723-351-4111,manager@massive.com
WH-VRSR,Beta Fulfillment Center,6295 Broadway,San Antonio,WA,87785,US,20853,Manager IRUXQ,+1-969-806-8360,manager@acmecorp.com
WH-NBHL,Theta Logistics Hub,7136 Lake Dr,Austin,WA,48722,US,153975,Manager FSEMK,+1-696-328-5030,manager@massive.com
WH-FAGD,Theta Logistics Hub,7725 Washington Blvd,Phoenix,AZ,99510,US,18046,Manager IHJJE,+1-769-463-6224,manager@globex.com
WH-YMNC,Iota Storage,8519 Elm St,Seattle,TN,81577,US,165492,Manager UGVXI,+1-325-491-5830,manager@hooli.com
WH-MRVU,Alpha Distribution Hub,1815 Market St,Phoenix,MA,75411,US,18643,Manager YZVXU,+1-396-999-7675,manager@acmecorp.com
WH-CTZS,Alpha Distribution Hub,2707 Broadway,Atlanta,OH,41576,US,68507,Manager FITAB,+1-982-977-8884,manager@wayne.com
WH-HZTP,Theta Logistics Hub,7093 Hill Rd,Miami,CO,77824,US,127235,Manager UOPYA,+1-525-297-8491,manager@cyberdyne.com
WH-IZRT,Delta Storage Facility,7883 Park Ave,Minneapolis,MA,99262,US,7588,Manager IJGKL,+1-426-309-4159,manager@stark.com
WH-QTFK,Zeta Cross-Dock,1120 River Rd,Portland,CO,83679,US,127238,Manager TLEIP,+1-860-903-7090,manager@acmecorp.com
WH-IAMC,Alpha Distribution Hub,6955 Park Ave,Portland,OR,92858,US,70934,Manager ITXPG,+1-799-704-2733,manager@stark.com
WH-TGWV,Kappa Fulfillment,2101 River Rd,Chicago,CO,89212,US,107189,Manager XLXNF,+1-577-886-5365,manager@cyberdyne.com
WH-XSCS,Eta Distribution Center,9208 River Rd,Minneapolis,WA,23132,US,46046,Manager PDIHY,+1-815-697-9631,manager@umbrella.com
WH-TCJH,Epsilon Warehouse,4527 Lake Dr,Chicago,OH,23227,US,31296,Manager ZIKHB,+1-964-447-6835,manager@initech.com
WH-QUCW,Delta Storage Facility,3806 Park Ave,Denver,MN,35304,US,89650,Manager INHSB,+1-411-416-1561,manager@massive.com
WH-HWOU,Epsilon Warehouse,5821 Market St,Houston,GA,77965,US,54328,Manager WKOUH,+1-246-768-8318,manager@oscorp.com
WH-HLFQ,Epsilon Warehouse,5979 Broadway,Atlanta,TX,72966,US,85635,Manager TRDBQ,+1-677-901-4854,manager@initech.com
WH-NXLA,Alpha Distribution Hub,8080 Oak Ave,Atlanta,OR,94096,US,148501,Manager VRZXZ,+1-520-277-3690,manager@hooli.com
WH-ANZC,Gamma Logistics Park,4823 Park Ave,Miami,NY,44864,US,169854,Manager QMCDP,+1-949-991-8030,manager@massive.com
WH-VCGX,Epsilon Warehouse,666 Lake Dr,Phoenix,MN,71110,US,128105,Manager PXFXK,+1-619-623-5892,manager@acmecorp.com
WH-VNEN,Zeta Cross-Dock,4638 Oak Ave,Denver,TX,93549,US,88588,Manager ATMUH,+1-990-315-2478,manager@cyberdyne.com
WH-GVRE,Eta Distribution Center,3937 Lake Dr,Philadelphia,OH,29234,US,15751,Manager EXUPT,+1-231-491-6355,manager@massive.com
WH-BNAO,Zeta Cross-Dock,4782 Elm St,Miami,CO,66913,US,25881,Manager YZBIQ,+1-781-202-1178,manager@umbrella.com
WH-LEFI,Iota Storage,690 Hill Rd,Miami,OR,24681,US,116993,Manager SGGGS,+1-337-619-6215,manager@massive.com
WH-KSRI,Delta Storage Facility,9089 Main St,Houston,OR,99032,US,79785,Manager LALLL,+1-645-934-4897,manager@umbrella.com
WH-MXQY,Iota Storage,5546 River Rd,Nashville,IL,60549,US,184245,Manager THHGD,+1-284-347-7688,manager@wayne.com
WH-VAIC,Delta Storage Facility,2548 Elm St,Nashville,PA,33208,US,188666,Manager ASDOJ,+1-341-165-7618,manager@stark.com
WH-OIMC,Zeta Cross-Dock,6518 River Rd,Atlanta,TX,85555,US,82208,Manager IOLNM,+1-931-403-5211,manager@hooli.com
WH-FRIV,Alpha Distribution Hub,6850 Washington Blvd,Seattle,CO,76123,US,133641,Manager XWZEZ,+1-952-862-6150,manager@umbrella.com
WH-JHGL,Beta Fulfillment Center,2978 Hill Rd,Boston,PA,48054,US,40991,Manager NTMYV,+1-249-217-3994,manager@oscorp.com
WH-VIKY,Alpha Distribution Hub,9550 Oak Ave,Nashville,NY,47183,US,104185,Manager CEMBR,+1-970-724-2057,manager@acmecorp.com
WH-FEEA,Zeta Cross-Dock,2324 Oak Ave,Houston,GA,31592,US,163009,Manager NWYHE,+1-722-883-5854,manager@umbrella.com
WH-YAPW,Kappa Fulfillment,6976 Washington Blvd,Seattle,CO,96573,US,17833,Manager HETIU,+1-211-930-7273,manager@umbrella.com
WH-IAZQ,Zeta Cross-Dock,8426 Lake Dr,Philadelphia,CA,69351,US,153116,Manager HBYRC,+1-927-718-9570,manager@umbrella.com
WH-XDTT,Gamma Logistics Park,9364 River Rd,Denver,TX,83517,US,90391,Manager MVMVX,+1-457-972-9401,manager@wayne.com
WH-VFSI,Eta Distribution Center,2338 River Rd,Nashville,NY,40785,US,178655,Manager FJMRJ,+1-352-719-1955,manager@hooli.com
WH-CDIZ,Alpha Distribution Hub,3530 Broadway,Minneapolis,MA,45419,US,129242,Manager RYMRD,+1-874-983-6161,manager@oscorp.com
WH-HYCX,Delta Storage Facility,1338 Broadway,Phoenix,WA,99998,US,195038,Manager CTTDD,+1-436-816-7914,manager@massive.com
WH-KFVF,Theta Logistics Hub,442 Oak Ave,Denver,MN,62363,US,186457,Manager VFZZU,+1-208-521-7977,manager@hooli.com
WH-RZYC,Epsilon Warehouse,7813 Main St,Atlanta,WA,86957,US,194374,Manager APCSM,+1-969-289-6822,manager@globex.com
WH-EGFG,Eta Distribution Center,1041 Market St,Atlanta,OR,91585,US,140480,Manager UYAOQ,+1-446-816-5207,manager@acmecorp.com
WH-TEHH,Kappa Fulfillment,993 Hill Rd,Atlanta,AZ,23927,US,155645,Manager BUGKB,+1-810-595-4153,manager@cyberdyne.com
WH-VPGI,Theta Logistics Hub,8293 Market St,Chicago,NY,79280,US,38110,Manager DKOXI,+1-260-899-1583,manager@hooli.com
WH-KBLI,Epsilon Warehouse,4945 Elm St,Portland,MN,42202,US,117767,Manager GTYPK,+1-325-351-6411,manager@wayne.com
WH-CGER,Alpha Distribution Hub,7674 River Rd,Dallas,CO,96963,US,150809,Manager KXDAR,+1-497-566-4167,manager@stark.com
WH-ZXXY,Iota Storage,8099 Washington Blvd,San Antonio,FL,90110,US,54467,Manager KTPXU,+1-607-430-5145,manager@globex.com
WH-PTEW,Gamma Logistics Park,2232 Main St,Portland,IL,67142,US,112139,Manager QJHDT,+1-746-602-8776,manager@massive.com
WH-OIHQ,Theta Logistics Hub,143 Washington Blvd,San Antonio,TN,25207,US,43748,Manager ICPAE,+1-505-219-2932,manager@initech.com
WH-DTWT,Eta Distribution Center,3925 Park Ave,Boston,TN,73855,US,144549,Manager NUXWO,+1-986-419-3134,manager@hooli.com
WH-OGDF,Kappa Fulfillment,6155 Market St,Chicago,WA,87503,US,150897,Manager OTUCW,+1-555-853-8191,manager@massive.com
WH-OMSD,Zeta Cross-Dock,7688 Main St,Los Angeles,MA,31636,US,148109,Manager TYQGT,+1-431-248-3705,manager@umbrella.com
WH-CZXI,Beta Fulfillment Center,6858 Market St,Chicago,MA,26813,US,50269,Manager BCAQN,+1-870-644-9973,manager@globex.com
WH-CDHR,Epsilon Warehouse,5543 Lake Dr,Boston,MA,39590,US,38242,Manager RFBYO,+1-846-808-9044,manager@hooli.com
WH-QXCL,Beta Fulfillment Center,935 River Rd,Boston,CA,69550,US,39743,Manager OVXWY,+1-393-107-6207,manager@acmecorp.com
WH-XGBT,Kappa Fulfillment,1185 Washington Blvd,San Diego,WA,84870,US,85819,Manager AOIMQ,+1-968-582-7710,manager@hooli.com
WH-FXPX,Theta Logistics Hub,131 Washington Blvd,Portland,PA,39483,US,184715,Manager DQBDE,+1-781-301-1247,manager@wayne.com
WH-CXAY,Kappa Fulfillment,8800 River Rd,Philadelphia,IL,26838,US,131663,Manager RLLLB,+1-849-275-3055,manager@wayne.com
WH-JTAH,Alpha Distribution Hub,457 River Rd,San Diego,IL,15914,US,159776,Manager CHCEK,+1-500-955-6421,manager@initech.com
WH-YFXZ,Alpha Distribution Hub,3611 Washington Blvd,San Diego,AZ,93591,US,21230,Manager VVDOE,+1-484-375-4275,manager@globex.com
WH-ZZXB,Kappa Fulfillment,6162 Elm St,Nashville,FL,77431,US,85559,Manager OQUHV,+1-694-232-9796,manager@oscorp.com
WH-XHTP,Theta Logistics Hub,5257 Lake Dr,Phoenix,OH,23557,US,149306,Manager MGOQA,+1-426-311-9056,manager@initech.com
WH-QMOE,Zeta Cross-Dock,256 Park Ave,Denver,CO,19101,US,63612,Manager VQLOB,+1-631-782-4380,manager@massive.com
WH-IQQC,Alpha Distribution Hub,4571 Market St,Nashville,AZ,71147,US,8803,Manager ONFLL,+1-559-783-7777,manager@acmecorp.com
WH-LEYB,Beta Fulfillment Center,6206 Lake Dr,Austin,MN,23731,US,185742,Manager OZRUG,+1-349-449-4996,manager@acmecorp.com
WH-TTIM,Beta Fulfillment Center,2967 Lake Dr,Seattle,CA,29190,US,182825,Manager AMGQD,+1-515-943-7538,manager@wayne.com
WH-JCZJ,Gamma Logistics Park,4515 Washington Blvd,Boston,AZ,76474,US,21744,Manager JYSDM,+1-831-948-2647,manager@oscorp.com
WH-XFZL,Iota Storage,7139 Hill Rd,Chicago,PA,86745,US,193820,Manager JJCRX,+1-513-400-3157,manager@stark.com
WH-HWLD,Alpha Distribution Hub,1738 Broadway,Dallas,TN,30820,US,121417,Manager QIOAH,+1-343-466-1765,manager@hooli.com
WH-FTNU,Beta Fulfillment Center,6741 Oak Ave,Seattle,TN,54395,US,163486,Manager AFJVJ,+1-622-936-7026,manager@hooli.com
WH-FTOG,Beta Fulfillment Center,895 Broadway,Boston,OH,19149,US,42395,Manager WQDJW,+1-762-813-3445,manager@wayne.com
WH-TETB,Gamma Logistics Park,6168 Park Ave,San Antonio,FL,31865,US,170214,Manager XBRFT,+1-947-126-1573,manager@stark.com
WH-HPJM,Iota Storage,2700 Broadway,Minneapolis,CO,27032,US,93250,Manager UKHCY,+1-456-253-9133,manager@oscorp.com
WH-DVVY,Kappa Fulfillment,1858 Elm St,Minneapolis,OH,45735,US,10501,Manager OUYNJ,+1-822-516-8734,manager@massive.com
WH-BHGI,Gamma Logistics Park,7309 Main St,Nashville,MA,34867,US,14150,Manager DXNSB,+1-504-676-2442,manager@hooli.com
WH-FQWW,Zeta Cross-Dock,4502 Hill Rd,Dallas,WA,85862,US,35640,Manager VMJZI,+1-492-422-8672,manager@initech.com
WH-MXAZ,Delta Storage Facility,6948 Broadway,Portland,AZ,90408,US,131100,Manager GARRG,+1-282-626-4364,manager@massive.com
WH-OHLJ,Theta Logistics Hub,6934 Hill Rd,San Diego,AZ,36533,US,83123,Manager JDNVF,+1-289-572-8895,manager@hooli.com
WH-BCHO,Epsilon Warehouse,761 Main St,Los Angeles,AZ,67021,US,18062,Manager SQVHY,+1-217-760-6868,manager@cyberdyne.com
WH-HBAR,Eta Distribution Center,6193 Main St,Nashville,PA,35898,US,148838,Manager HRMDS,+1-819-317-4112,manager@hooli.com
WH-MOSG,Alpha Distribution Hub,9197 Elm St,Dallas,PA,22496,US,56789,Manager ZEEMF,+1-688-996-7349,manager@massive.com
WH-PMCE,Alpha Distribution Hub,7707 Market St,New York,NY,88977,US,153326,Manager GYIQB,+1-651-913-2993,manager@acmecorp.com
WH-SEZF,Beta Fulfillment Center,4445 Hill Rd,Minneapolis,PA,82975,US,192232,Manager NLTMO,+1-202-117-3887,manager@hooli.com
WH-BTQY,Epsilon Warehouse,8674 Hill Rd,Austin,PA,70015,US,24807,Manager WMWKD,+1-689-555-7791,manager@umbrella.com
WH-OZQZ,Beta Fulfillment Center,8171 Elm St,New York,MA,75572,US,175591,Manager TNSGH,+1-525-645-2847,manager@cyberdyne.com
WH-VUKF,Beta Fulfillment Center,3338 Lake Dr,Seattle,WA,98543,US,156168,Manager APVSI,+1-612-257-1540,manager@globex.com
WH-RZWZ,Alpha Distribution Hub,5746 Park Ave,Atlanta,NY,40007,US,100179,Manager WKZTP,+1-365-778-3040,manager@globex.com
WH-JMAA,Epsilon Warehouse,9623 River Rd,Nashville,AZ,47886,US,170768,Manager WRCHC,+1-278-787-5233,manager@cyberdyne.com
WH-PBGT,Alpha Distribution Hub,3544 Oak Ave,Atlanta,MA,54455,US,145504,Manager BVONA,+1-259-854-3730,manager@umbrella.com
WH-SADK,Eta Distribution Center,996 Elm St,Denver,WA,66991,US,56290,Manager HGNPH,+1-544-869-6943,manager@hooli.com
WH-WXIP,Beta Fulfillment Center,7208 Oak Ave,Nashville,PA,50319,US,83598,Manager NJBBV,+1-657-310-1258,manager@oscorp.com
WH-CJPM,Beta Fulfillment Center,4787 Broadway,New York,FL,41538,US,105137,Manager UIOTE,+1-736-154-6304,manager@stark.com
WH-XMBK,Delta Storage Facility,8602 Washington Blvd,San Diego,PA,19106,US,19919,Manager UVEJX,+1-608-703-8099,manager@initech.com
WH-UVUY,Eta Distribution Center,6998 Broadway,Dallas,TX,25400,US,74725,Manager CZVAC,+1-246-140-4397,manager@massive.com
WH-NTCI,Kappa Fulfillment,5368 Washington Blvd,Portland,GA,40944,US,168043,Manager QHCGD,+1-454-393-7445,manager@acmecorp.com
WH-XYNI,Iota Storage,5898 Market St,Los Angeles,FL,16342,US,164848,Manager TVSDY,+1-558-186-1160,manager@stark.com
WH-ELKU,Zeta Cross-Dock,547 Washington Blvd,Philadelphia,WA,17901,US,40687,Manager KOAFU,+1-815-177-1757,manager@cyberdyne.com
WH-NRYM,Gamma Logistics Park,7607 Hill Rd,Houston,AZ,95492,US,193941,Manager RBRXF,+1-319-314-8477,manager@oscorp.com
WH-RAAV,Alpha Distribution Hub,1562 Elm St,Philadelphia,AZ,99419,US,163777,Manager TBBFQ,+1-884-277-1054,manager@acmecorp.com
WH-VWBX,Eta Distribution Center,9783 Main St,Los Angeles,CA,15564,US,90833,Manager ZEQYY,+1-229-351-7938,manager@globex.com
WH-NPDC,Eta Distribution Center,8719 Market St,Atlanta,CO,46975,US,176595,Manager FCERK,+1-675-293-7168,manager@initech.com
WH-SUMC,Zeta Cross-Dock,7672 Market St,Boston,MA,94093,US,54586,Manager FOFFO,+1-612-169-2124,manager@stark.com
WH-HEUX,Alpha Distribution Hub,4947 Elm St,Atlanta,TX,11197,US,86887,Manager WBNEC,+1-283-432-3174,manager@globex.com
WH-XMBG,Iota Storage,7946 Elm St,Chicago,PA,46448,US,100333,Manager JGAOL,+1-786-806-9807,manager@oscorp.com
WH-TKYD,Alpha Distribution Hub,5206 Park Ave,Atlanta,TX,31297,US,6676,Manager AJFSU,+1-480-639-2776,manager@initech.com
WH-VXFC,Epsilon Warehouse,2091 Park Ave,San Diego,CO,11674,US,196995,Manager GTSXE,+1-707-363-4041,manager@cyberdyne.com
WH-TRJV,Eta Distribution Center,3359 Hill Rd,Denver,PA,10417,US,79796,Manager PWDOL,+1-602-774-3867,manager@cyberdyne.com
WH-TBLM,Beta Fulfillment Center,5671 Lake Dr,Los Angeles,MA,57470,US,8277,Manager LLVKB,+1-444-906-7466,manager@massive.com
WH-DHFE,Epsilon Warehouse,4531 Washington Blvd,Austin,CA,11445,US,90646,Manager EAVIL,+1-492-170-4733,manager@acmecorp.com
WH-PKQI,Kappa Fulfillment,8985 Broadway,Los Angeles,MN,24278,US,152743,Manager WETOR,+1-772-312-3537,manager@massive.com
WH-QNXB,Delta Storage Facility,264 River Rd,Nashville,AZ,97045,US,158688,Manager SAJYG,+1-829-962-4947,manager@acmecorp.com
WH-DMRO,Kappa Fulfillment,4323 Park Ave,Chicago,WA,95212,US,18879,Manager DAMWE,+1-627-837-3796,manager@cyberdyne.com
WH-JSDS,Gamma Logistics Park,1360 Main St,Houston,TX,25165,US,146919,Manager UKFUS,+1-394-604-9706,manager@hooli.com
WH-ULGJ,Alpha Distribution Hub,3593 Market St,Atlanta,WA,52550,US,165016,Manager VTOOJ,+1-477-209-7215,manager@globex.com
WH-RGIH,Gamma Logistics Park,4305 River Rd,Nashville,OR,30925,US,84038,Manager HVZSA,+1-633-615-4344,manager@globex.com
WH-HLAC,Iota Storage,8236 Main St,Nashville,OH,90971,US,130089,Manager KRCAQ,+1-493-741-3942,manager@umbrella.com
WH-RIDJ,Theta Logistics Hub,8346 Lake Dr,Philadelphia,IL,43246,US,133070,Manager GPOIB,+1-242-997-8968,manager@acmecorp.com
WH-DYWY,Eta Distribution Center,6684 Main St,Dallas,MA,34436,US,189806,Manager MCWQD,+1-242-400-1236,manager@initech.com
WH-LRHA,Eta Distribution Center,7276 Park Ave,Seattle,IL,74069,US,12039,Manager FJEMT,+1-826-443-4605,manager@massive.com
WH-XHNK,Iota Storage,787 Broadway,Phoenix,TN,13645,US,65181,Manager GADVI,+1-633-866-5432,manager@stark.com
WH-RIIQ,Eta Distribution Center,786 Oak Ave,Nashville,NY,71715,US,189766,Manager DXPZX,+1-951-370-9370,manager@wayne.com
WH-TYQW,Iota Storage,1435 Park Ave,Philadelphia,NY,87078,US,22806,Manager CGKCR,+1-972-164-3471,manager@wayne.com
WH-MHGN,Zeta Cross-Dock,6915 Lake Dr,San Antonio,AZ,15761,US,25451,Manager MDAZR,+1-818-615-6143,manager@oscorp.com
WH-IEWI,Delta Storage Facility,347 River Rd,Atlanta,CO,14408,US,104927,Manager FYDJL,+1-454-844-3263,manager@globex.com
WH-ROZK,Alpha Distribution Hub,3629 Broadway,Philadelphia,CA,44496,US,115139,Manager BUAMC,+1-714-735-8785,manager@acmecorp.com
WH-NMFN,Alpha Distribution Hub,2345 River Rd,Austin,MA,52326,US,93706,Manager DUCUH,+1-263-475-4114,manager@initech.com
WH-DSGB,Alpha Distribution Hub,4280 Oak Ave,Atlanta,MA,39076,US,49451,Manager PFJCT,+1-347-976-2421,manager@massive.com
WH-MHGT,Gamma Logistics Park,8400 Lake Dr,Minneapolis,GA,36946,US,20105,Manager EMNUO,+1-203-736-9265,manager@oscorp.com
WH-NJLD,Kappa Fulfillment,7581 Broadway,Atlanta,CA,40994,US,105215,Manager SUKBQ,+1-539-349-5855,manager@umbrella.com
WH-WAKC,Kappa Fulfillment,8461 River Rd,Chicago,MN,21167,US,105419,Manager LPOGU,+1-704-210-5833,manager@massive.com
WH-WYQD,Delta Storage Facility,3426 River Rd,Chicago,TN,71668,US,8583,Manager XCXFA,+1-748-683-5325,manager@stark.com
WH-WRXQ,Eta Distribution Center,9291 Hill Rd,Austin,AZ,36602,US,198509,Manager FWATZ,+1-739-274-7085,manager@globex.com
WH-HXDN,Eta Distribution Center,4247 Market St,New York,CA,67537,US,179215,Manager JQICN,+1-706-330-6477,manager@stark.com
WH-ZOET,Iota Storage,6614 Oak Ave,Boston,MA,31160,US,197065,Manager FCTYP,+1-238-276-6430,manager@stark.com
WH-MOQC,Kappa Fulfillment,2423 Elm St,Nashville,TN,50209,US,74487,Manager KUCCX,+1-894-772-8895,manager@hooli.com
WH-QRRL,Delta Storage Facility,8749 Main St,Miami,MA,64132,US,149593,Manager XHVPQ,+1-700-430-2851,manager@acmecorp.com
WH-ODWD,Gamma Logistics Park,7632 Elm St,Miami,WA,27317,US,97599,Manager FCMZQ,+1-969-551-3484,manager@stark.com
WH-PIBI,Gamma Logistics Park,9918 Elm St,Boston,TX,98530,US,185141,Manager PAIOV,+1-221-616-8887,manager@wayne.com
WH-BYSL,Kappa Fulfillment,7594 Washington Blvd,Miami,GA,22018,US,131305,Manager WBOAJ,+1-241-973-8876,manager@acmecorp.com
WH-UJHE,Epsilon Warehouse,8900 Park Ave,Minneapolis,TN,36488,US,183842,Manager PZBZZ,+1-383-822-2336,manager@acmecorp.com
WH-QDQD,Iota Storage,7459 Main St,Nashville,MA,75847,US,68961,Manager NNSQU,+1-262-665-8408,manager@globex.com
WH-XTFU,Kappa Fulfillment,8202 Washington Blvd,Seattle,IL,28326,US,50277,Manager LKLGX,+1-847-970-3423,manager@acmecorp.com
WH-UZDU,Zeta Cross-Dock,9753 Elm St,Phoenix,OH,16018,US,158465,Manager CRXHA,+1-735-641-6237,manager@globex.com
WH-SEDU,Gamma Logistics Park,3761 Hill Rd,Los Angeles,PA,10153,US,16042,Manager TUFOK,+1-735-616-2710,manager@hooli.com
WH-CCTB,Zeta Cross-Dock,3559 Main St,New York,OR,17994,US,168393,Manager GUSTB,+1-834-814-3191,manager@wayne.com
WH-EWSM,Kappa Fulfillment,1165 Market St,Atlanta,TX,66360,US,119848,Manager JPWXD,+1-473-255-4766,manager@oscorp.com
WH-MUDQ,Eta Distribution Center,1752 River Rd,Dallas,TX,29215,US,134803,Manager EIVZX,+1-927-466-6396,manager@cyberdyne.com
WH-MFBZ,Eta Distribution Center,7999 Broadway,San Diego,FL,53748,US,129359,Manager BPENW,+1-421-964-7287,manager@oscorp.com
WH-WENB,Kappa Fulfillment,2026 Broadway,Minneapolis,NY,51358,US,175124,Manager UEXYF,+1-488-123-7557,manager@acmecorp.com
WH-VRPQ,Eta Distribution Center,547 Washington Blvd,San Diego,CA,23120,US,75465,Manager JCVGX,+1-869-737-5012,manager@hooli.com
WH-ZEKT,Epsilon Warehouse,1575 Oak Ave,Boston,WA,51453,US,21096,Manager SLAJW,+1-356-403-4683,manager@hooli.com
WH-JAWA,Gamma Logistics Park,6849 Broadway,Atlanta,MN,12833,US,141373,Manager JLLSG,+1-784-582-3183,manager@wayne.com
WH-ZLTH,Zeta Cross-Dock,7339 Elm St,Nashville,NY,51120,US,155303,Manager VOGPS,+1-951-984-6229,manager@stark.com
WH-ECXQ,Kappa Fulfillment,3120 Elm St,Atlanta,NY,79460,US,64867,Manager GPVVZ,+1-384-712-7041,manager@umbrella.com
WH-ERUJ,Epsilon Warehouse,7584 Park Ave,New York,IL,70717,US,80665,Manager MXVJB,+1-723-516-4142,manager@cyberdyne.com
WH-JVBM,Beta Fulfillment Center,7030 Elm St,New York,MN,85015,US,42691,Manager PVPAX,+1-676-118-3786,manager@umbrella.com
